"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Saudi Arabia","SAU","1990",0.5097993,0.0192784,0.6729333,0.0045077,,,,,0.5621929,0.0333204,,
"Saudi Arabia","SAU","1995",0.5048117,0.01123,0.6839306,0.0041392,,,,,0.3581966,0.0863518,,
"Saudi Arabia","SAU","2000",0.4922387,0.0539546,0.5607778,0.0011116,,,0.6705492,0.0336099,0.5838592,0.0618043,0.4373914,0.0116558
"Saudi Arabia","SAU","2005",0.4742531,0.0192949,0.5523433,0.0070249,0.592746,,0.5796995,0.1091367,0.6339185,0.0208622,0.4416781,0.0122688
"Saudi Arabia","SAU","2010",0.4736106,0.02493,0.6633341,0.0087312,0.6064247,,0.5158916,0.1229078,0.5255148,0.0568878,0.4535691,0.0149884
"Senegal","SEN","1990",0.5060391,0.0478531,0.632195,0.0077826,,,,,0.6848804,0.0141675,,
"Senegal","SEN","1995",0.4945364,0.0538643,0.5784888,0.0067871,,,,,0.6295847,0.0317782,,
"Senegal","SEN","2000",0.4758319,0.0364958,0.523461,0.0082557,,,,,0.5742326,0.0190894,,
"Senegal","SEN","2005",0.4993536,0.0176381,0.5792169,0.0059547,0.4956496,,0.4723123,0.0817057,0.6691532,0.0103563,0.4726033,0.0144101
"Senegal","SEN","2010",0.5111642,0.0205592,0.6828855,0.0043596,0.5514895,,0.4855373,0.077213,0.578442,0.0330468,0.4487303,0.0119939
"Serbia and Montenegro","SRB","1990",0.5316037,0.0212902,,,,,,,,,,
"Serbia and Montenegro","SRB","1995",0.4981223,0.0278299,,,0.4384539,0.0107419,0.5344182,0.0124596,0.742824,0.0083434,0.433003,0.0189591
"Serbia and Montenegro","SRB","2000",0.5334391,0.0314091,0.3799408,0.0133894,0.3667663,0.0491452,0.5377262,0.0309887,0.7163817,0.0387452,0.4599547,0.0197861
"Serbia and Montenegro","SRB","2005",0.492278,0.0097365,0.5521739,0.0067762,0.3341968,0.0516511,0.4241901,0.0507548,0.7483595,0.0060401,0.4704368,0.0146493
"Serbia and Montenegro","SRB","2010",0.4877662,0.0170402,0.6950178,0.0071114,0.4032093,,0.4210478,0.0510601,0.9491788,0.0466354,0.4434126,0.0078563
"Seychelles","SYC","1990",,,,,,,,,,,,
"Seychelles","SYC","1995",0.7664415,0.1038949,,,,,,,,,,
"Seychelles","SYC","2000",0.6742629,0.0842575,,,,,0.5693814,0.0301233,0.7448432,0.0342608,,
"Seychelles","SYC","2005",,,,,,,0.4521285,0.0522219,,,,
"Seychelles","SYC","2010",0.7519507,0.1485622,,,,,,,0.9116315,0.0330316,,
"Sierra Leone","SLE","1990",0.462935,0.001663,0.6028694,0.0157419,,,,,0.7201937,0.0234795,,
"Sierra Leone","SLE","1995",0.4477449,0.0070609,0.4565632,0.0173193,,,,,0.6665678,0.0511856,,
"Sierra Leone","SLE","2000",0.4401868,0.0022468,0.4621055,0.0119101,,,,,0.6316668,0.0553387,,
"Sierra Leone","SLE","2005",,,0.5867831,0.0060858,,,,,0.6949474,0.0230845,0.4274209,0.0085115
"Sierra Leone","SLE","2010",0.4582087,7.4E-4,0.6797619,0.0061055,,,,,0.6080685,0.0948597,0.4274019,0.0160713
"Singapore","SGP","1990",0.6206294,0.0378328,0.7087893,0.0081978,0.3560626,,0.5570548,0.0093493,0.7220658,0.0049125,,
"Singapore","SGP","1995",0.680524,0.0578427,0.7005184,0.0066689,0.4513438,,0.6087834,0.0063544,0.7521703,0.0187237,,
